Date,Region,Sales_Lakh_INR,NPS_Score,Customer_Churn_Pct,Inventory_Turnover_Turns,Support_Ticket_Count
2026-08-01,Region_A,42.50,65.2,2.10,4.50,11
2026-08-02,Region_A,43.10,66.0,2.05,4.55,10
2026-08-03,Region_A,44.20,67.5,2.15,4.60,12
2026-08-04,Region_A,43.80,64.8,2.20,4.45,14
2026-08-05,Region_A,45.10,68.0,1.95,4.70,9
2026-08-06,Region_A,42.90,65.5,2.10,4.40,13
2026-08-07,Region_A,44.00,66.8,2.00,4.50,11
2026-08-08,Region_A,43.50,65.0,2.25,4.48,15
2026-08-09,Region_A,42.80,64.2,2.30,4.35,16
2026-08-10,Region_A,44.50,67.1,2.05,4.65,10
2026-08-11,Region_A,43.20,65.8,2.12,4.52,12
2026-08-12,Region_A,24.65,48.0,3.40,3.80,82
2026-08-13,Region_A,23.80,31.5,5.60,2.90,94
2026-08-14,Region_A,24.10,21.0,7.80,2.10,88
2026-08-15,Region_A,24.65,16.5,8.60,1.85,91
2026-08-16,Region_A,31.20,29.0,6.90,2.40,54
2026-08-17,Region_A,36.50,42.0,4.80,3.10,32
2026-08-18,Region_A,40.10,54.5,3.20,3.90,21
2026-08-19,Region_A,42.20,61.0,2.50,4.30,14
2026-08-20,Region_A,43.00,64.5,2.18,4.45,11
2026-08-01,Region_B,38.50,62.0,2.40,4.10,12
2026-08-02,Region_B,39.10,63.1,2.35,4.15,11
2026-08-03,Region_B,38.80,61.8,2.45,4.08,13
2026-08-04,Region_B,39.50,63.5,2.30,4.20,10
2026-08-05,Region_B,38.90,62.4,2.38,4.12,12
2026-08-06,Region_B,39.20,62.9,2.41,4.18,11
2026-08-07,Region_B,38.70,61.5,2.48,4.05,14
2026-08-08,Region_B,39.00,62.2,2.39,4.14,12
2026-08-09,Region_B,39.40,63.0,2.32,4.22,10
2026-08-10,Region_B,38.60,61.9,2.44,4.09,13
2026-08-11,Region_B,39.30,62.7,2.36,4.16,11
2026-08-12,Region_B,38.90,62.1,2.40,4.11,12
2026-08-13,Region_B,39.10,62.8,2.35,4.15,11
2026-08-14,Region_B,38.80,61.7,2.42,4.08,13
2026-08-15,Region_B,39.20,62.5,2.37,4.17,10
2026-08-16,Region_B,39.00,62.3,2.39,4.13,12
2026-08-17,Region_B,38.70,61.6,2.45,4.07,14
2026-08-18,Region_B,39.40,63.2,2.31,4.21,11
2026-08-19,Region_B,39.10,62.6,2.38,4.15,12
2026-08-20,Region_B,38.90,62.0,2.41,4.10,13
