date,region,channel,revenue_lakh_inr
2026-06-01,North_India,Web,16.191
2026-06-01,North_India,Mobile_App,16.33
2026-06-01,North_India,Store,10.521
2026-06-01,South_India,Web,13.625
2026-06-01,South_India,Mobile_App,14.481
2026-06-01,South_India,Store,9.501
2026-06-01,East_India,Web,10.499
2026-06-01,East_India,Mobile_App,10.737
2026-06-01,East_India,Store,7.958
2026-06-01,West_India,Web,11.966
2026-06-01,West_India,Mobile_App,12.705
2026-06-01,West_India,Store,8.165
2026-06-02,North_India,Web,15.146
2026-06-02,North_India,Mobile_App,16.537
2026-06-02,North_India,Store,10.347
2026-06-02,South_India,Web,12.14
2026-06-02,South_India,Mobile_App,15.706
2026-06-02,South_India,Store,9.571
2026-06-02,East_India,Web,10.673
2026-06-02,East_India,Mobile_App,10.901
2026-06-02,East_India,Store,8.243
2026-06-02,West_India,Web,11.657
2026-06-02,West_India,Mobile_App,12.893
2026-06-02,West_India,Store,9.254
2026-06-03,North_India,Web,14.66
2026-06-03,North_India,Mobile_App,15.338
2026-06-03,North_India,Store,10.245
2026-06-03,South_India,Web,11.474
2026-06-03,South_India,Mobile_App,16.157
2026-06-03,South_India,Store,9.263
2026-06-03,East_India,Web,10.032
2026-06-03,East_India,Mobile_App,12.772
2026-06-03,East_India,Store,6.757
2026-06-03,West_India,Web,11.921
2026-06-03,West_India,Mobile_App,11.565
2026-06-03,West_India,Store,7.922
2026-06-04,North_India,Web,13.638
2026-06-04,North_India,Mobile_App,18.274
2026-06-04,North_India,Store,11.613
2026-06-04,South_India,Web,13.037
2026-06-04,South_India,Mobile_App,15.967
2026-06-04,South_India,Store,9.397
2026-06-04,East_India,Web,10.858
2026-06-04,East_India,Mobile_App,11.458
2026-06-04,East_India,Store,6.731
2026-06-04,West_India,Web,10.3
2026-06-04,West_India,Mobile_App,13.503
2026-06-04,West_India,Store,9.363
2026-06-05,North_India,Web,14.938
2026-06-05,North_India,Mobile_App,16.271
2026-06-05,North_India,Store,11.705
2026-06-05,South_India,Web,13.489
2026-06-05,South_India,Mobile_App,15.293
2026-06-05,South_India,Store,9.644
2026-06-05,East_India,Web,10.417
2026-06-05,East_India,Mobile_App,11.777
2026-06-05,East_India,Store,6.854
2026-06-05,West_India,Web,11.898
2026-06-05,West_India,Mobile_App,13.125
2026-06-05,West_India,Store,8.841
2026-06-06,North_India,Web,16.1
2026-06-06,North_India,Mobile_App,16.664
2026-06-06,North_India,Store,11.69
2026-06-06,South_India,Web,16.415
2026-06-06,South_India,Mobile_App,16.632
2026-06-06,South_India,Store,10.072
2026-06-06,East_India,Web,10.918
2026-06-06,East_India,Mobile_App,12.593
2026-06-06,East_India,Store,8.249
2026-06-06,West_India,Web,12.02
2026-06-06,West_India,Mobile_App,16.112
2026-06-06,West_India,Store,9.083
2026-06-07,North_India,Web,16.571
2026-06-07,North_India,Mobile_App,20.44
2026-06-07,North_India,Store,12.821
2026-06-07,South_India,Web,14.706
2026-06-07,South_India,Mobile_App,17.363
2026-06-07,South_India,Store,11.109
2026-06-07,East_India,Web,11.624
2026-06-07,East_India,Mobile_App,12.006
2026-06-07,East_India,Store,8.73
2026-06-07,West_India,Web,13.63
2026-06-07,West_India,Mobile_App,15.153
2026-06-07,West_India,Store,8.728
2026-06-08,North_India,Web,14.527
2026-06-08,North_India,Mobile_App,16.205
2026-06-08,North_India,Store,10.311
2026-06-08,South_India,Web,14.335
2026-06-08,South_India,Mobile_App,16.595
2026-06-08,South_India,Store,9.882
2026-06-08,East_India,Web,10.846
2026-06-08,East_India,Mobile_App,12.487
2026-06-08,East_India,Store,7.494
2026-06-08,West_India,Web,11.498
2026-06-08,West_India,Mobile_App,12.666
2026-06-08,West_India,Store,8.222
2026-06-09,North_India,Web,16.693
2026-06-09,North_India,Mobile_App,17.676
2026-06-09,North_India,Store,10.284
2026-06-09,South_India,Web,12.923
2026-06-09,South_India,Mobile_App,14.412
2026-06-09,South_India,Store,9.713
2026-06-09,East_India,Web,10.747
2026-06-09,East_India,Mobile_App,10.961
2026-06-09,East_India,Store,7.719
2026-06-09,West_India,Web,11.155
2026-06-09,West_India,Mobile_App,14.33
2026-06-09,West_India,Store,8.328
2026-06-10,North_India,Web,16.215
2026-06-10,North_India,Mobile_App,16.338
2026-06-10,North_India,Store,10.319
2026-06-10,South_India,Web,13.539
2026-06-10,South_India,Mobile_App,16.163
2026-06-10,South_India,Store,9.823
2026-06-10,East_India,Web,9.723
2026-06-10,East_India,Mobile_App,12.132
2026-06-10,East_India,Store,7.51
2026-06-10,West_India,Web,11.253
2026-06-10,West_India,Mobile_App,12.687
2026-06-10,West_India,Store,9.115
2026-06-11,North_India,Web,14.356
2026-06-11,North_India,Mobile_App,15.947
2026-06-11,North_India,Store,10.901
2026-06-11,South_India,Web,13.404
2026-06-11,South_India,Mobile_App,15.131
2026-06-11,South_India,Store,9.945
2026-06-11,East_India,Web,10.808
2026-06-11,East_India,Mobile_App,12.261
2026-06-11,East_India,Store,7.934
2026-06-11,West_India,Web,11.747
2026-06-11,West_India,Mobile_App,12.711
2026-06-11,West_India,Store,8.071
2026-06-12,North_India,Web,14.241
2026-06-12,North_India,Mobile_App,17.011
2026-06-12,North_India,Store,9.821
2026-06-12,South_India,Web,11.838
2026-06-12,South_India,Mobile_App,15.28
2026-06-12,South_India,Store,8.738
2026-06-12,East_India,Web,9.27
2026-06-12,East_India,Mobile_App,12.269
2026-06-12,East_India,Store,7.18
2026-06-12,West_India,Web,11.894
2026-06-12,West_India,Mobile_App,12.78
2026-06-12,West_India,Store,7.695
2026-06-13,North_India,Web,15.236
2026-06-13,North_India,Mobile_App,18.235
2026-06-13,North_India,Store,11.567
2026-06-13,South_India,Web,14.16
2026-06-13,South_India,Mobile_App,16.737
2026-06-13,South_India,Store,9.659
2026-06-13,East_India,Web,11.77
2026-06-13,East_India,Mobile_App,11.994
2026-06-13,East_India,Store,8.302
2026-06-13,West_India,Web,13.477
2026-06-13,West_India,Mobile_App,15.753
2026-06-13,West_India,Store,10.19
2026-06-14,North_India,Web,14.927
2026-06-14,North_India,Mobile_App,19.673
2026-06-14,North_India,Store,12.611
2026-06-14,South_India,Web,15.772
2026-06-14,South_India,Mobile_App,16.075
2026-06-14,South_India,Store,10.903
2026-06-14,East_India,Web,13.072
2026-06-14,East_India,Mobile_App,12.233
2026-06-14,East_India,Store,8.64
2026-06-14,West_India,Web,13.799
2026-06-14,West_India,Mobile_App,14.166
2026-06-14,West_India,Store,9.563
2026-06-15,North_India,Web,13.755
2026-06-15,North_India,Mobile_App,15.981
2026-06-15,North_India,Store,9.985
2026-06-15,South_India,Web,13.453
2026-06-15,South_India,Mobile_App,15.117
2026-06-15,South_India,Store,10.044
2026-06-15,East_India,Web,9.908
2026-06-15,East_India,Mobile_App,11.905
2026-06-15,East_India,Store,7.932
2026-06-15,West_India,Web,11.939
2026-06-15,West_India,Mobile_App,12.151
2026-06-15,West_India,Store,8.579
2026-06-16,North_India,Web,14.278
2026-06-16,North_India,Mobile_App,17.188
2026-06-16,North_India,Store,10.689
2026-06-16,South_India,Web,14.273
2026-06-16,South_India,Mobile_App,15.306
2026-06-16,South_India,Store,8.443
2026-06-16,East_India,Web,9.637
2026-06-16,East_India,Mobile_App,12.526
2026-06-16,East_India,Store,7.384
2026-06-16,West_India,Web,12.339
2026-06-16,West_India,Mobile_App,13.417
2026-06-16,West_India,Store,7.879
2026-06-17,North_India,Web,15.655
2026-06-17,North_India,Mobile_App,15.986
2026-06-17,North_India,Store,9.207
2026-06-17,South_India,Web,14.947
2026-06-17,South_India,Mobile_App,13.457
2026-06-17,South_India,Store,9.863
2026-06-17,East_India,Web,11.091
2026-06-17,East_India,Mobile_App,12.106
2026-06-17,East_India,Store,6.742
2026-06-17,West_India,Web,12.253
2026-06-17,West_India,Mobile_App,12.058
2026-06-17,West_India,Store,7.585
2026-06-18,North_India,Web,14.381
2026-06-18,North_India,Mobile_App,17.595
2026-06-18,North_India,Store,10.689
2026-06-18,South_India,Web,13.947
2026-06-18,South_India,Mobile_App,14.795
2026-06-18,South_India,Store,9.402
2026-06-18,East_India,Web,9.784
2026-06-18,East_India,Mobile_App,11.772
2026-06-18,East_India,Store,7.767
2026-06-18,West_India,Web,11.342
2026-06-18,West_India,Mobile_App,13.577
2026-06-18,West_India,Store,7.966
2026-06-19,North_India,Web,14.178
2026-06-19,North_India,Mobile_App,16.839
2026-06-19,North_India,Store,10.377
2026-06-19,South_India,Web,13.773
2026-06-19,South_India,Mobile_App,15.363
2026-06-19,South_India,Store,10.492
2026-06-19,East_India,Web,10.362
2026-06-19,East_India,Mobile_App,11.836
2026-06-19,East_India,Store,7.032
2026-06-19,West_India,Web,11.566
2026-06-19,West_India,Mobile_App,13.741
2026-06-19,West_India,Store,7.884
2026-06-20,North_India,Web,16.415
2026-06-20,North_India,Mobile_App,19.627
2026-06-20,North_India,Store,11.67
2026-06-20,South_India,Web,14.432
2026-06-20,South_India,Mobile_App,18.018
2026-06-20,South_India,Store,10.702
2026-06-20,East_India,Web,12.04
2026-06-20,East_India,Mobile_App,14.385
2026-06-20,East_India,Store,8.977
2026-06-20,West_India,Web,12.667
2026-06-20,West_India,Mobile_App,14.318
2026-06-20,West_India,Store,9.398
2026-06-21,North_India,Web,16.333
2026-06-21,North_India,Mobile_App,16.671
2026-06-21,North_India,Store,12.66
2026-06-21,South_India,Web,14.913
2026-06-21,South_India,Mobile_App,17.776
2026-06-21,South_India,Store,9.891
2026-06-21,East_India,Web,12.669
2026-06-21,East_India,Mobile_App,12.966
2026-06-21,East_India,Store,8.346
2026-06-21,West_India,Web,11.848
2026-06-21,West_India,Mobile_App,14.636
2026-06-21,West_India,Store,9.113
2026-06-22,North_India,Web,14.537
2026-06-22,North_India,Mobile_App,17.242
2026-06-22,North_India,Store,10.538
2026-06-22,South_India,Web,14.079
2026-06-22,South_India,Mobile_App,14.773
2026-06-22,South_India,Store,8.932
2026-06-22,East_India,Web,10.488
2026-06-22,East_India,Mobile_App,12.452
2026-06-22,East_India,Store,8.06
2026-06-22,West_India,Web,12.114
2026-06-22,West_India,Mobile_App,11.802
2026-06-22,West_India,Store,8.437
2026-06-23,North_India,Web,15.988
2026-06-23,North_India,Mobile_App,16.863
2026-06-23,North_India,Store,10.175
2026-06-23,South_India,Web,13.547
2026-06-23,South_India,Mobile_App,14.741
2026-06-23,South_India,Store,9.864
2026-06-23,East_India,Web,10.492
2026-06-23,East_India,Mobile_App,13.003
2026-06-23,East_India,Store,7.725
2026-06-23,West_India,Web,11.048
2026-06-23,West_India,Mobile_App,13.679
2026-06-23,West_India,Store,8.713
2026-06-24,North_India,Web,14.199
2026-06-24,North_India,Mobile_App,16.371
2026-06-24,North_India,Store,9.048
2026-06-24,South_India,Web,14.021
2026-06-24,South_India,Mobile_App,14.664
2026-06-24,South_India,Store,8.29
2026-06-24,East_India,Web,9.386
2026-06-24,East_India,Mobile_App,11.839
2026-06-24,East_India,Store,7.842
2026-06-24,West_India,Web,11.488
2026-06-24,West_India,Mobile_App,13.574
2026-06-24,West_India,Store,7.705
2026-06-25,North_India,Web,13.517
2026-06-25,North_India,Mobile_App,17.693
2026-06-25,North_India,Store,10.81
2026-06-25,South_India,Web,13.276
2026-06-25,South_India,Mobile_App,16.369
2026-06-25,South_India,Store,8.958
2026-06-25,East_India,Web,10.235
2026-06-25,East_India,Mobile_App,12.739
2026-06-25,East_India,Store,8.327
2026-06-25,West_India,Web,11.556
2026-06-25,West_India,Mobile_App,14.53
2026-06-25,West_India,Store,7.952
2026-06-26,North_India,Web,14.991
2026-06-26,North_India,Mobile_App,16.625
2026-06-26,North_India,Store,9.499
2026-06-26,South_India,Web,13.506
2026-06-26,South_India,Mobile_App,16.051
2026-06-26,South_India,Store,9.415
2026-06-26,East_India,Web,10.456
2026-06-26,East_India,Mobile_App,13.003
2026-06-26,East_India,Store,6.938
2026-06-26,West_India,Web,10.512
2026-06-26,West_India,Mobile_App,12.682
2026-06-26,West_India,Store,7.658
2026-06-27,North_India,Web,17.794
2026-06-27,North_India,Mobile_App,19.166
2026-06-27,North_India,Store,11.15
2026-06-27,South_India,Web,14.347
2026-06-27,South_India,Mobile_App,19.946
2026-06-27,South_India,Store,10.251
2026-06-27,East_India,Web,11.222
2026-06-27,East_India,Mobile_App,13.685
2026-06-27,East_India,Store,8.722
2026-06-27,West_India,Web,13.108
2026-06-27,West_India,Mobile_App,13.978
2026-06-27,West_India,Store,8.597
2026-06-28,North_India,Web,17.053
